Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.245945,2.03899E-05,-0.244956,0.000208589,0.103678,-0.0269779,5.37166,0.349723
-0.245564,2.07518E-05,-0.244569,0.000210688,0.103678,-0.0269779,5.37928,0.349337
-0.245697,2.06251E-05,-0.244696,0.000210401,0.103678,-0.0269779,5.38672,0.349464
-0.245826,2.05033E-05,-0.244818,0.000210137,0.103678,-0.0269779,5.39427,0.349585
-0.246139,2.02056E-05,-0.245125,0.000209008,0.103927,-0.026955,5.40352,0.350138
-0.245199,2.10994E-05,-0.244179,0.000213729,0.103927,-0.026955,5.41133,0.349196
-0.245323,2.09824E-05,-0.244296,0.00021348,0.103927,-0.026955,5.41961,0.349312
-0.245572,2.07459E-05,-0.244539,0.00021264,0.103927,-0.026955,5.4273,0.349554
-0.244394,2.18638E-05,-0.243355,0.000218495,0.103927,-0.026955,5.43755,0.348374
-0.243557,2.26546E-05,-0.242511,0.00022275,0.103927,-0.026955,5.44475,0.347533
-0.243737,2.24857E-05,-0.242684,0.000222225,0.103927,-0.026955,5.45589,0.347705
-0.24399,0.000022247,-0.242931,0.000221348,0.104163,-0.0269691,5.46312,0.348187
-0.242921,2.32553E-05,-0.241855,0.000226714,0.104163,-0.0269691,5.47231,0.347115
-0.243074,2.31113E-05,-0.242002,0.000226297,0.104163,-0.0269691,5.48252,0.347261
-0.243373,2.28308E-05,-0.242294,0.000225191,0.104163,-0.0269691,5.49088,0.347552
-0.243512,2.27002E-05,-0.242426,0.00022484,0.104163,-0.0269691,5.5002,0.347683
-0.243622,0.000022596,-0.24253,0.000224618,0.104163,-0.0269691,5.50732,0.347787
-0.244541,0.000021731,-0.243442,0.000220549,0.104163,-0.0269691,5.51656,0.348695
-0.245221,2.10881E-05,-0.244115,0.000217609,0.104163,-0.0269691,5.5234,0.349366
-0.244345,2.19187E-05,-0.243232,0.00022211,0.104163,-0.0269691,5.53169,0.348486
-0.244952,2.13449E-05,-0.243833,0.000219506,0.104383,-0.0270115,5.53841,0.349308
-0.245944,2.04066E-05,-0.244817,0.000215058,0.104383,-0.0270115,5.54857,0.350288
-0.246713,1.96756E-05,-0.245579,0.00021167,0.104383,-0.0270115,5.55611,0.351048
-0.245729,2.06138E-05,-0.244589,0.000216727,0.104383,-0.0270115,5.56461,0.35006
-0.245839,2.05089E-05,-0.244692,0.000216504,0.104383,-0.0270115,5.57195,0.350163
-0.246118,2.02435E-05,-0.244965,0.000215464,0.104383,-0.0270115,5.58076,0.350435
-0.245166,2.11491E-05,-0.244006,0.000220385,0.104383,-0.0270115,5.58862,0.349479
-0.244252,2.20152E-05,-0.243085,0.000225123,0.104546,-0.0269797,5.59682,0.348722
-0.244374,2.18999E-05,-0.2432,0.000224832,0.104546,-0.0269797,5.6035,0.348837
-0.244624,2.16644E-05,-0.243442,0.000223921,0.104546,-0.0269797,5.61103,0.349078
-0.244753,2.15426E-05,-0.243564,0.000223596,0.104546,-0.0269797,5.61973,0.349199
-0.244859,2.14419E-05,-0.243663,0.000223377,0.104546,-0.0269797,5.62692,0.349298
-0.244983,2.13247E-05,-0.24378,0.000223072,0.104546,-0.0269797,5.6353,0.349415
-0.245221,2.10993E-05,-0.244011,0.000222206,0.104546,-0.0269797,5.64251,0.349645
-0.244492,2.17906E-05,-0.243275,0.000226081,0.104546,-0.0269797,5.65427,0.348911
-0.244624,2.16653E-05,-0.2434,0.000225725,0.104546,-0.0269797,5.66219,0.349036
-0.244929,0.000021377,-0.243698,0.000224521,0.104719,-0.0269283,5.67056,0.3495
-0.244178,2.20882E-05,-0.242939,0.000228515,0.104719,-0.0269283,5.68041,0.348744
-0.244318,2.19556E-05,-0.243073,0.000228111,0.104719,-0.0269283,5.68891,0.348877
-0.244419,2.18601E-05,-0.243167,0.0002279,0.104719,-0.0269283,5.696,0.348971
-0.244695,2.15996E-05,-0.243435,0.000226823,0.104719,-0.0269283,5.70319,0.349238
-0.243762,2.24823E-05,-0.242495,0.000231733,0.104719,-0.0269283,5.71134,0.348301
-0.24412,2.21446E-05,-0.242846,0.000230237,0.104719,-0.0269283,5.72027,0.348651
-0.244395,2.18856E-05,-0.243113,0.000229154,0.104719,-0.0269283,5.72809,0.348917
-0.243312,2.29079E-05,-0.242023,0.000234819,0.104928,-0.0269847,5.73732,0.348043
-0.242338,2.38243E-05,-0.241041,0.000239946,0.104928,-0.0269847,5.74588,0.347065
-0.243402,2.28274E-05,-0.242098,0.000234914,0.104928,-0.0269847,5.75666,0.348118
